Date,Time,CPU Package [°C],CPU IA Cores [°C],CPU GT Cores (Graphics) [°C],VR VCC Temperature (SVID) [°C],CPU Package Power [W],IA Cores Power [W],System Agent Power [W],Rest-of-Chip Power [W],PL1 Power Limit (Static) [W],PL2 Power Limit (Static) [W],VR VCC Power (SVID POUT) [W],GPU Temperature [°C],GPU Hot Spot Temperature [°C],GPU Thermal Limit [°C],GPU Power [W],GPU Rail Powers (avg) [W],GPU Core (NVVDD) Input Power (sum) [W],GPU PCIe +12V Input Power [W],GPU 8-pin #1 Input Power [W],GPU Misc0 Input Power [W],GPU Core (NVVDD2) Input Power (sum) [W],GPU Input PP Source Power (sum) [W],GPU Core (NVVDD) Output Power [W],GPU Core (NVVDD) Output Power [W],GPU Core Load [%],GPU Memory Controller Load [%],GPU Video Engine Load [%],GPU Bus Load [%],GPU Memory Usage [%],GPU D3D Usages (avg) [%],GPU D3D Usage [%],GPU Video Decode 0 Usage [%],GPU Video Encode 0 Usage [%],GPU VR Usage [%]
26.3.2025,41:11.3,39,39,38,38,12.386,5.56,5.079,0.747,202,241,24,43.5,50.7,83,13.801,5.833,9.36,2.789,10.803,5.181,8.433,5.163,1.13,3.804,1,25,0,0,8.5,0.1,0.4,0,0,0
26.3.2025,41:12.2,39,39,38,38,10.788,4.049,5.01,0.728,202,241,24,43.5,50.7,83,15.202,6.001,8.795,2.933,11.223,5.94,7.918,6.245,1.134,3.823,6,12,0,0,8.5,0.4,1.6,0,0,0
26.3.2025,41:13.2,39,39,38,38,8.96,2.28,4.964,0.719,202,241,24,43.5,50.7,83,14.689,5.985,8.703,3.028,11.142,5.913,7.839,6.335,1.127,3.793,0,19,0,0,8.5,0.1,0.5,0,0,0
26.3.2025,41:14.3,39,39,38,38,14.322,7.445,5.112,0.765,202,241,24,43.5,50.7,83,13.919,5.941,8.836,2.945,11.053,5.759,7.956,6.05,1.134,3.796,0,32,0,0,8.5,0,0.1,0,0,0
26.3.2025,41:15.3,39,39,38,38,9.13,2.43,4.977,0.723,202,241,24,43.5,50.7,83,13.543,5.725,9.073,2.713,10.597,5.152,8.172,5.146,1.136,3.807,0,24,0,0,8.4,0,0,0,0,0
26.3.2025,41:16.3,39,39,38,38,9.103,2.424,4.96,0.718,202,241,32,43.5,50.7,83,13.788,5.725,8.978,2.729,10.596,5.205,8.081,5.253,1.127,3.755,2,22,0,0,8.4,0,0.4,0,0,0
26.3.2025,41:17.0,39,39,38,38,9.941,3.232,4.983,0.727,202,241,40,43.5,50.7,83,13.652,5.716,9.313,2.728,10.76,5.167,8.391,5.102,1.16,3.736,2,22,0,0,8.4,0.1,0.4,0,0,0
26.3.2025,41:18.3,39,39,38,38,43.221,34.601,6.233,1.387,202,241,40,43.5,50.7,83,13.692,5.795,9.313,2.728,10.76,5.167,8.391,5.102,1.16,3.736,1,38,0,0,8.4,0.1,0.2,0,0,0
26.3.2025,41:19.3,39,39,38,38,42.817,34.108,6.292,1.422,202,241,40,43.5,50.7,83,13.618,5.799,9.288,2.654,10.649,5.069,8.355,4.948,1.128,3.788,1,27,0,0,8.4,0,0.1,0,0,0
26.3.2025,41:20.2,39,39,38,38,43.261,34.532,6.295,1.424,202,241,40,43.5,50.7,83,13.618,5.735,9.288,2.654,10.649,5.069,8.355,4.948,1.128,3.788,2,32,0,0,8.4,0,0.1,0,0,0
